num,tot_nodes,lf_nodes,unconn_nodes,stale_entries,tot_par_sw,elap_time,dao_sent,dao_rcvd,npdao_sent,npdao_rcvd,dco_sent,dco_rcvd,udp_sent,udp_rcvd
1,100,49,15,77,48,120,294,1674,0,0,40,165,155,152
2,100,50,5,27,51,160,318,1858,0,0,54,213,206,204
3,100,50,4,22,52,200,320,1872,0,0,56,213,260,257
4,100,50,0,6,52,240,351,2064,0,0,60,229,323,318
5,100,51,0,2,53,281,374,2190,0,0,61,232,393,390
6,100,51,0,2,53,321,379,2218,0,0,61,232,451,449
7,100,51,0,2,53,361,382,2238,0,0,61,232,514,510
8,100,51,0,2,53,401,390,2280,0,0,61,232,574,571
9,100,51,0,2,53,442,405,2383,0,0,61,232,637,633
10,100,51,0,2,53,482,424,2521,0,0,61,232,700,696
11,100,51,0,2,53,522,455,2668,0,0,61,232,748,746
12,100,51,0,2,53,563,481,2835,0,0,61,232,816,812
13,100,51,0,2,54,603,500,2974,0,1,62,235,881,876
14,100,51,0,0,54,644,508,3029,2,2,62,235,927,923
15,100,51,0,0,54,684,509,3038,2,2,62,235,988,985
16,100,51,0,0,54,724,514,3064,2,2,62,235,1054,1050
17,100,51,0,0,54,765,519,3090,2,2,62,235,1119,1111
18,100,51,0,0,54,805,534,3198,2,2,62,235,1185,1182
19,100,51,0,0,54,846,568,3404,2,2,62,235,1241,1238
20,100,51,0,0,54,887,599,3577,2,2,62,235,1308,1306
21,100,51,0,0,54,927,620,3711,2,2,62,235,1371,1369
22,100,51,0,0,54,968,631,3781,2,2,62,235,1437,1434
23,100,51,0,0,54,1009,639,3833,2,2,62,235,1496,1493
24,100,51,0,0,54,1050,654,3907,2,2,62,235,1552,1550
25,100,51,0,0,54,1090,660,3951,2,2,62,235,1611,1607
26,100,51,0,0,54,1131,669,4033,2,2,62,235,1673,1669
27,100,51,0,0,54,1172,688,4132,2,2,62,235,1738,1735
28,100,51,0,0,54,1213,705,4236,2,2,62,235,1796,1792
29,100,51,0,0,54,1254,721,4330,2,2,62,235,1848,1845
30,100,51,0,0,54,1295,734,4420,2,2,62,235,1905,1901
31,100,51,0,0,54,1336,742,4472,2,2,62,235,1962,1959
32,100,51,0,0,54,1376,755,4547,2,2,62,235,2038,2034
33,100,51,0,0,54,1417,766,4607,2,2,62,235,2101,2098
34,100,51,0,0,54,1458,776,4669,2,2,62,235,2167,2165
35,100,51,0,0,54,1500,792,4769,2,2,62,235,2231,2226
36,100,51,0,0,54,1541,807,4855,2,2,62,235,2299,2295
37,100,51,0,0,54,1582,823,4970,2,2,62,235,2361,2358
38,100,51,0,0,54,1623,834,5038,2,2,62,235,2425,2423
39,100,51,0,0,54,1664,850,5142,2,2,62,235,2487,2483
40,100,51,0,0,54,1706,859,5197,2,2,62,235,2540,2537
41,100,51,0,0,54,1747,876,5288,2,2,62,235,2605,2603
42,100,51,0,0,54,1788,888,5373,2,2,62,235,2675,2671
43,100,51,0,0,54,1829,902,5460,2,2,62,235,2735,2731
44,100,51,0,0,54,1871,921,5586,2,2,62,235,2792,2786
45,100,51,0,0,54,1912,932,5652,2,2,62,235,2857,2855
46,100,51,0,0,54,1953,943,5698,2,2,62,235,2917,2914
47,100,51,0,0,54,1994,959,5812,2,2,62,235,2982,2979
48,100,51,0,0,54,2036,977,5912,2,2,62,235,3051,3048
49,100,51,0,0,54,2077,993,6014,2,2,62,235,3105,3099
50,100,51,0,0,54,2118,1011,6135,2,2,62,235,3167,3162
51,100,51,0,0,54,2160,1023,6214,2,2,62,235,3220,3218
52,100,51,0,0,54,2201,1032,6278,2,2,62,235,3283,3280
53,100,51,0,0,54,2243,1041,6332,2,2,62,235,3352,3349
54,100,51,0,0,54,2284,1053,6401,2,2,62,235,3407,3404
55,100,51,0,0,54,2326,1066,6467,2,2,62,235,3476,3474
56,100,51,0,0,54,2367,1084,6579,2,2,62,235,3548,3546
57,100,51,0,0,54,2409,1101,6682,2,2,62,235,3604,3601
58,100,51,0,0,54,2451,1114,6774,2,2,62,235,3660,3658
59,100,51,0,0,54,2492,1125,6851,2,2,62,235,3724,3721
60,100,51,0,0,54,2534,1135,6923,2,2,62,235,3797,3794
