num,tot_nodes,lf_nodes,unconn_nodes,stale_entries,tot_par_sw,elap_time,dao_sent,dao_rcvd,npdao_sent,npdao_rcvd,dco_sent,dco_rcvd,udp_sent,udp_rcvd
1,100,49,1,45,94,120,302,1624,161,408,0,0,141,138
2,100,48,0,34,97,160,333,1825,180,456,0,0,197,194
3,100,49,0,34,98,200,334,1840,186,462,0,0,261,259
4,100,49,0,28,98,240,354,1951,189,465,0,0,326,322
5,100,49,0,28,98,281,382,2097,189,465,0,0,378,374
6,100,48,0,33,99,321,383,2106,190,474,0,0,434,431
7,100,48,0,33,99,361,397,2225,195,479,0,0,503,500
8,100,48,0,28,99,401,407,2286,195,479,0,0,570,567
9,100,48,0,28,99,441,423,2399,195,479,0,0,621,618
10,100,48,0,28,99,482,446,2529,195,479,0,0,692,690
11,100,48,0,28,99,522,467,2651,195,479,0,0,754,750
12,100,48,0,28,99,562,482,2743,195,479,0,0,817,812
13,100,48,0,28,99,603,508,2892,195,479,0,0,870,866
14,100,48,0,0,99,643,513,2929,223,509,0,0,941,939
15,100,48,0,0,99,683,516,2947,223,509,0,0,998,995
16,100,48,0,0,99,724,522,2992,223,509,0,0,1054,1051
17,100,48,0,0,99,764,531,3052,223,509,0,0,1106,1104
18,100,48,0,0,99,805,550,3167,223,509,0,0,1146,1143
19,100,48,0,0,99,845,572,3278,223,509,0,0,1213,1210
20,100,46,19,124,104,886,604,3477,228,539,0,0,1271,1265
21,100,45,8,93,106,927,635,3656,234,558,0,0,1332,1328
22,100,45,3,65,106,967,652,3776,245,573,0,0,1384,1381
23,100,45,2,56,107,1008,668,3884,250,581,0,0,1454,1452
24,100,45,1,58,107,1049,679,3942,250,581,0,0,1512,1508
25,100,45,0,52,107,1090,684,3979,254,585,0,0,1572,1567
26,100,44,3,79,108,1130,694,4054,257,596,0,0,1642,1639
27,100,44,3,69,108,1171,713,4144,273,611,0,0,1697,1694
28,100,44,3,58,108,1212,728,4231,280,619,0,0,1762,1759
29,100,44,2,49,108,1253,745,4346,282,621,0,0,1816,1813
30,100,44,1,44,108,1294,761,4458,282,621,0,0,1865,1860
31,100,44,0,39,108,1335,775,4549,282,621,0,0,1933,1930
32,100,44,0,32,108,1376,789,4626,294,635,0,0,1990,1987
33,100,44,0,21,108,1417,796,4670,302,642,0,0,2060,2056
34,100,44,0,14,108,1458,803,4723,307,648,0,0,2117,2112
35,100,44,0,12,108,1499,819,4802,309,650,0,0,2174,2172
36,100,44,0,4,108,1540,835,4893,317,658,0,0,2246,2244
37,100,44,0,4,108,1581,853,5012,321,662,0,0,2305,2301
38,100,44,0,0,108,1622,865,5099,321,662,0,0,2369,2366
39,100,44,0,0,108,1663,888,5238,321,662,0,0,2427,2425
40,100,44,0,0,108,1705,903,5329,321,662,0,0,2495,2492
41,100,44,0,0,108,1746,910,5380,321,662,0,0,2542,2539
42,100,44,0,0,108,1787,922,5465,321,662,0,0,2605,2600
43,100,44,0,0,108,1829,937,5538,321,662,0,0,2658,2653
44,100,44,0,0,108,1870,954,5652,321,662,0,0,2727,2724
45,100,44,0,0,108,1912,964,5715,321,662,0,0,2784,2778
46,100,44,0,0,108,1953,974,5787,321,662,0,0,2857,2851
47,100,44,0,0,108,1994,996,5906,321,662,0,0,2927,2920
48,100,44,0,0,108,2036,1017,6028,321,662,0,0,2991,2982
49,100,44,0,0,108,2077,1034,6152,321,662,0,0,3046,3042
50,100,44,0,0,108,2119,1044,6219,321,662,0,0,3109,3101
51,100,44,0,0,108,2160,1057,6309,321,662,0,0,3162,3152
52,100,44,0,0,108,2202,1067,6365,321,662,0,0,3226,3219
53,100,44,0,0,108,2243,1074,6421,321,662,0,0,3295,3285
54,100,44,0,0,108,2284,1088,6487,321,662,0,0,3355,3347
55,100,44,0,0,108,2326,1109,6614,321,662,0,0,3420,3412
56,100,44,0,0,108,2368,1126,6709,321,662,0,0,3478,3468
57,100,44,0,0,108,2410,1140,6812,321,662,0,0,3548,3540
58,100,44,0,0,108,2451,1148,6876,321,662,0,0,3608,3600
59,100,44,0,0,108,2493,1161,6951,321,662,0,0,3673,3664
60,100,44,0,0,108,2535,1172,7019,321,662,0,0,3742,3734
