num,tot_nodes,lf_nodes,unconn_nodes,stale_entries,tot_par_sw,elap_time,dao_sent,dao_rcvd,npdao_sent,npdao_rcvd,dco_sent,dco_rcvd,udp_sent,udp_rcvd
1,100,47,2,19,89,120,272,1526,0,0,61,232,162,155
2,100,48,18,114,95,160,308,1738,6,21,79,250,218,209
3,100,50,10,65,98,200,316,1811,14,42,80,252,271,262
4,100,50,8,35,98,240,330,1898,30,59,80,252,335,325
5,100,49,2,35,100,280,357,2061,30,59,83,258,401,389
6,100,49,1,35,103,319,362,2089,30,59,86,261,458,441
7,100,49,15,153,113,359,385,2212,30,59,98,284,520,500
8,100,48,8,104,116,399,405,2338,43,96,107,300,585,565
9,100,48,8,104,116,438,419,2425,43,96,107,300,645,624
10,100,48,7,73,119,478,447,2595,67,120,107,300,713,691
11,100,45,3,103,123,518,479,2773,68,124,114,305,766,738
12,100,46,2,99,126,558,495,2871,68,124,118,311,820,794
13,100,46,2,95,126,598,504,2921,71,127,118,311,877,851
14,100,47,3,76,127,638,511,2969,104,166,119,311,934,909
15,100,47,38,202,136,678,532,3114,109,171,145,321,991,954
16,100,45,56,385,145,718,575,3359,127,187,175,386,1054,1013
17,100,43,46,341,149,758,590,3441,135,194,182,414,1115,1073
18,100,43,37,314,150,798,603,3524,141,201,197,423,1171,1132
19,100,42,21,291,153,838,630,3729,143,203,219,462,1230,1193
20,100,41,15,264,154,878,638,3760,149,209,222,472,1293,1255
21,100,41,8,249,155,918,658,3891,149,209,229,484,1354,1313
22,100,42,8,243,157,958,669,3959,170,230,232,492,1413,1370
23,100,42,4,203,158,998,682,4015,187,247,233,495,1480,1437
24,100,41,7,214,162,1039,708,4195,207,268,246,535,1549,1500
25,100,40,8,171,165,1079,730,4346,261,326,252,549,1618,1569
26,100,40,5,108,165,1120,740,4420,302,368,253,552,1682,1629
27,100,40,4,66,167,1161,760,4521,337,404,255,554,1733,1679
28,100,40,3,52,167,1201,769,4580,351,419,255,554,1790,1736
29,100,41,4,48,170,1242,778,4644,359,427,261,569,1846,1789
30,100,40,11,85,172,1282,795,4741,369,437,263,573,1908,1850
31,100,41,10,74,173,1323,807,4811,372,440,266,576,1967,1907
32,100,40,6,60,175,1363,826,4925,372,440,269,580,2028,1966
33,100,41,5,57,176,1404,844,5025,372,440,271,583,2095,2031
34,100,41,8,78,182,1445,861,5152,375,443,277,595,2151,2083
35,100,42,5,63,183,1486,877,5255,375,445,279,597,2208,2140
36,100,42,1,36,184,1526,893,5363,381,449,281,601,2278,2211
37,100,42,2,40,185,1567,905,5447,386,454,281,601,2335,2267
38,100,42,1,28,185,1608,921,5525,390,458,282,605,2397,2327
39,100,42,1,22,185,1649,930,5594,397,466,282,605,2463,2392
40,100,42,1,12,185,1690,945,5672,403,473,282,605,2518,2448
41,100,42,1,10,185,1731,957,5752,405,474,282,605,2575,2505
42,100,42,1,8,185,1772,972,5858,409,481,282,605,2645,2573
43,100,42,1,5,185,1813,988,5964,410,482,282,605,2701,2631
44,100,42,1,2,185,1854,1003,6069,413,485,282,605,2759,2688
45,100,41,0,2,185,1895,1014,6148,413,485,282,605,2826,2756
46,100,41,0,2,185,1936,1033,6260,414,486,282,605,2888,2818
47,100,41,0,1,185,1977,1048,6343,414,490,282,605,2959,2886
48,100,43,0,0,187,2018,1064,6439,416,491,284,628,3019,2948
49,100,43,0,0,187,2060,1075,6509,416,491,284,628,3082,3010
50,100,43,0,0,187,2101,1084,6586,416,491,284,628,3140,3067
51,100,43,0,0,187,2142,1098,6681,416,492,284,628,3207,3136
52,100,43,1,0,187,2183,1114,6787,420,495,284,628,3262,3193
53,100,43,0,0,187,2225,1128,6889,420,495,284,628,3325,3256
54,100,43,15,75,188,2266,1143,6971,420,495,289,639,3397,3326
55,100,43,9,51,188,2307,1162,7078,420,495,290,640,3458,3389
56,100,43,8,48,188,2348,1174,7158,420,495,291,641,3519,3450
57,100,43,8,48,188,2390,1183,7199,420,495,293,643,3574,3506
58,100,43,6,42,188,2431,1193,7265,420,495,293,643,3630,3560
59,100,43,5,39,188,2472,1201,7328,420,495,294,644,3690,3621
60,100,43,4,36,188,2514,1221,7470,420,495,295,645,3745,3675
