num,tot_nodes,lf_nodes,unconn_nodes,stale_entries,tot_par_sw,elap_time,dao_sent,dao_rcvd,npdao_sent,npdao_rcvd,dco_sent,dco_rcvd,udp_sent,udp_rcvd
1,100,41,5,82,88,120,319,1799,193,510,0,0,153,146
2,100,40,46,343,126,160,421,2324,255,588,0,0,210,191
3,100,44,24,343,132,200,451,2497,267,621,0,0,267,249
4,100,44,20,306,133,240,464,2585,301,653,0,0,322,303
5,100,45,7,290,135,279,506,2846,307,664,0,0,362,342
6,100,45,5,284,135,319,518,2951,311,675,0,0,423,400
7,100,44,5,287,136,359,522,2976,319,682,0,0,478,454
8,100,43,9,299,137,399,532,3029,320,682,0,0,542,515
9,100,43,9,303,139,439,548,3140,322,684,0,0,603,575
10,100,42,2,288,141,478,575,3297,324,684,0,0,666,637
11,100,40,16,406,155,518,616,3554,340,736,0,0,724,686
12,100,40,17,435,160,559,642,3728,353,761,0,0,786,746
13,100,39,12,410,161,599,662,3863,369,784,0,0,852,808
14,100,39,11,348,163,639,672,3934,440,856,0,0,914,875
15,100,38,32,398,167,679,682,3993,545,963,0,0,974,932
16,100,37,45,431,168,719,689,4047,571,988,0,0,1040,994
17,100,37,42,386,171,759,703,4101,609,1016,0,0,1093,1048
18,100,37,35,386,174,799,721,4230,617,1043,0,0,1163,1119
19,100,37,21,338,174,839,743,4376,629,1056,0,0,1221,1176
20,100,37,13,349,181,879,777,4593,674,1118,0,0,1285,1238
21,100,37,7,293,183,920,793,4684,720,1166,0,0,1347,1295
22,100,36,4,267,183,960,806,4780,728,1174,0,0,1409,1357
23,100,36,2,239,183,1001,818,4844,751,1206,0,0,1475,1426
24,100,37,6,257,189,1041,844,5022,781,1236,0,0,1538,1487
25,100,37,2,196,189,1082,850,5062,822,1282,0,0,1609,1555
26,100,37,1,155,189,1123,860,5148,853,1314,0,0,1668,1616
27,100,37,1,108,189,1164,876,5242,917,1388,0,0,1734,1681
28,100,37,1,74,189,1205,888,5310,936,1403,0,0,1792,1739
29,100,36,28,102,192,1246,906,5403,962,1427,0,0,1850,1792
30,100,37,24,118,193,1287,918,5490,967,1433,0,0,1903,1847
31,100,37,20,105,193,1327,930,5555,971,1436,0,0,1960,1902
32,100,38,15,99,194,1368,945,5656,975,1438,0,0,2022,1961
33,100,36,30,211,211,1409,990,5881,996,1478,0,0,2092,2022
34,100,35,28,230,212,1450,1003,5982,998,1480,0,0,2145,2071
35,100,36,23,186,212,1491,1017,6073,1032,1513,0,0,2216,2140
36,100,37,16,166,213,1532,1031,6160,1037,1517,0,0,2285,2208
37,100,37,13,155,213,1573,1039,6211,1042,1522,0,0,2368,2291
38,100,37,9,133,213,1615,1046,6261,1062,1542,0,0,2427,2351
39,100,36,6,118,214,1656,1055,6317,1063,1543,0,0,2490,2412
40,100,36,2,106,214,1697,1065,6407,1068,1548,0,0,2551,2473
41,100,35,0,95,214,1738,1101,6631,1076,1556,0,0,2619,2542
42,100,35,0,82,214,1780,1117,6730,1089,1572,0,0,2688,2611
43,100,35,0,71,214,1821,1130,6810,1099,1580,0,0,2739,2662
44,100,35,0,54,214,1863,1145,6918,1117,1598,0,0,2799,2722
45,100,35,0,41,214,1904,1151,6960,1130,1611,0,0,2865,2789
46,100,35,0,28,214,1946,1157,7005,1142,1623,0,0,2934,2857
47,100,35,0,15,215,1987,1169,7073,1163,1648,0,0,2995,2918
48,100,34,5,33,215,2029,1190,7221,1170,1655,0,0,3049,2972
49,100,34,4,28,215,2070,1210,7338,1174,1659,0,0,3118,3041
50,100,34,2,26,215,2112,1225,7445,1174,1659,0,0,3176,3099
51,100,34,1,25,215,2153,1236,7515,1174,1659,0,0,3232,3155
52,100,34,0,24,215,2195,1250,7603,1174,1659,0,0,3303,3225
53,100,34,0,24,215,2236,1260,7658,1174,1659,0,0,3369,3292
54,100,34,0,24,215,2278,1269,7731,1174,1659,0,0,3437,3360
55,100,34,0,24,215,2320,1280,7799,1174,1659,0,0,3488,3411
56,100,34,0,16,215,2361,1298,7910,1186,1671,0,0,3548,3472
57,100,34,7,39,216,2403,1318,8046,1195,1684,0,0,3608,3532
58,100,34,2,19,216,2444,1337,8166,1199,1689,0,0,3659,3582
59,100,34,2,22,217,2486,1350,8261,1201,1698,0,0,3709,3631
60,100,34,1,18,217,2528,1363,8358,1203,1700,0,0,3778,3701
